武术世界HD,rtp/239.69.1.47:9922
文物宝库HD,rtp/239.69.1.46:9916
快乐垂钓HD,rtp/239.69.1.142:10488
生活时尚HD,rtp/239.69.2.11:11220
中国交通HD,rtp/239.69.2.3:11172
乐游HD,rtp/239.69.2.12:11226
动漫秀场HD,rtp/239.69.2.6:11190
重庆卫视HD,rtp/239.69.1.149:10530
江苏卫视HD,rtp/239.254.96.144:8938
浙江卫视HD,rtp/239.254.96.143:8932
东方卫视HD,rtp/239.254.96.142:8926
深圳卫视HD,rtp/239.254.96.137:8896
北京卫视HD,rtp/239.254.96.141:8920
山东卫视HD,rtp/239.69.1.69:10054
天津卫视HD,rtp/239.69.1.68:10048
贵州卫视HD,rtp/239.69.1.150:10536
四川卫视HD,rtp/239.69.1.169:10650
云南卫视HD,rtp/239.69.2.25:11304
广西卫视HD,rtp/239.69.1.191:10788
黑龙江卫视HD,rtp/239.254.96.138:8902
安徽卫视HD,rtp/239.69.1.70:10060
江西卫视HD,rtp/239.69.1.126:10394
湖北卫视HD,rtp/239.254.96.115:8664
旅游卫视HD,rtp/239.69.1.151:10542
东南卫视HD,rtp/239.69.1.108:10286
吉林卫视HD,rtp/239.69.1.212:10914
辽宁卫视HD,rtp/239.69.1.71:10066
湖南卫视HD,rtp/239.254.96.139:8908
广东卫视HD,rtp/239.254.96.140:8914
河南卫视HD,rtp/239.69.1.168:10644
河北卫视HD,rtp/239.254.96.113:9616
河北卫视HD,rtp/239.69.1.157:10578
宁夏卫视HD,rtp/239.69.2.33:11352
甘肃卫视HD,rtp/239.69.2.23:11292
青海卫视HD,rtp/239.69.2.24:11298
新疆卫视HD,rtp/239.69.2.30:11334
西藏卫视HD,rtp/239.69.2.31:11340
兵团卫视HD,rtp/239.69.2.32:11346
金鹰卡通HD,rtp/239.69.1.248:11130
金鹰纪实HD,rtp/239.69.1.109:10292
卡酷少儿HD,rtp/239.69.1.193:10800
东方财经HD,rtp/239.69.2.9:11208
都市剧场HD,rtp/239.69.2.4:11178
中华特产HD,rtp/239.69.2.18:11262
凤凰中文台HD,rtp/239.69.2.20:11274
凤凰资讯台HD,rtp/239.69.2.19:11268
九屏导视HD,rtp/239.69.1.156:10572
四海钓鱼HD,rtp/239.69.1.244:11106
CCTV1SD,rtp/239.254.96.3:7992
CCTV2SD,rtp/239.254.96.154:8998
CCTV4SD,rtp/239.254.96.155:9004
CCTV5+SD,rtp/239.254.96.99:8568
CCTV7SD,rtp/239.254.96.156:9130
CCTV9SD,rtp/239.254.96.157:9016
CCTV10SD,rtp/239.254.96.158:9022
CCTV11SD,rtp/239.254.96.159:9028
CCTV11SD,rtp/239.254.96.9:8028
CCTV12SD,rtp/239.254.96.160:9034
CCTV13SD,rtp/239.254.96.11:8040
CCTV14SD,rtp/239.254.96.162:9046
CCTV15SD,rtp/239.254.96.13:8052
CCTV17SD,rtp/239.69.1.153:10554
湖北综合SD,rtp/239.254.96.177:9142
湖北公共新闻SD,rtp/239.254.96.179:9154
湖北垄上SD,rtp/239.254.96.184:9184
湖北影视SD,rtp/239.254.96.182:9172
湖北教育SD,rtp/239.254.96.180:9160
湖北生活SD,rtp/239.254.96.181:9166
湖北经视SD,rtp/239.254.96.178:9148
武汉综合SD,rtp/239.254.96.228:9448
武汉文体SD,rtp/239.69.1.4:9664
武汉电视剧SD,rtp/239.254.96.229:9454
武汉科技生活SD,rtp/239.69.1.2:9652
CETV2SD,rtp/239.69.1.183:10734
CETV4SD,rtp/239.69.1.175:10686
CGTNSD,rtp/239.254.96.7:8016
书法频道SD,rtp/239.69.1.189:10776
环球奇观SD,rtp/239.254.96.192:9232
国学频道SD,rtp/239.254.96.194:9244
新动漫SD,rtp/239.69.1.187:10764
老故事SD,rtp/239.69.1.85:10150
先锋乒羽SD,rtp/239.69.1.143:10494
重庆卫视SD,rtp/239.254.96.25:8124
江苏卫视SD,rtp/239.254.96.17:8076
浙江卫视SD,rtp/239.254.96.18:8082
东方卫视SD,rtp/239.254.96.2:7986
深圳卫视SD,rtp/239.254.96.34:8178
北京卫视SD,rtp/239.254.96.16:8070
山东卫视SD,rtp/239.254.96.21:8100
天津卫视SD,rtp/239.254.96.29:8148
贵州卫视SD,rtp/239.254.96.31:8160
四川卫视SD,rtp/239.254.96.90:8514
云南卫视SD,rtp/239.254.96.30:8154
广西卫视SD,rtp/239.254.96.23:8112
黑龙江卫视SD,rtp/239.254.96.92:8526
安徽卫视SD,rtp/239.254.96.20:8094
山西卫视SD,rtp/239.254.96.93:8532
江西卫视SD,rtp/239.254.96.27:8136
湖北卫视SD,rtp/239.254.96.1:7980
旅游卫视SD,rtp/239.254.96.24:8118
陕西卫视SD,rtp/239.254.96.186:9196
东南卫视SD,rtp/239.254.96.26:8130
厦门卫视SD,rtp/239.69.1.127:10400
吉林卫视SD,rtp/239.254.96.91:8520
辽宁卫视SD,rtp/239.254.96.19:8088
内蒙古卫视SD,rtp/239.254.96.41:8220
湖南卫视SD,rtp/239.254.96.15:8064
广东卫视SD,rtp/239.254.96.22:8106
河南卫视SD,rtp/239.254.96.28:8142
河北卫视SD,rtp/239.254.96.185:9190
宁夏卫视SD,rtp/239.254.96.97:8556
甘肃卫视SD,rtp/239.254.96.187:9202
青海卫视SD,rtp/239.254.96.95:8544
新疆卫视SD,rtp/239.254.96.47:8256
西藏卫视SD,rtp/239.254.96.35:8184
兵团卫视SD,rtp/239.254.96.48:8262
三沙卫视SD,rtp/239.69.1.171:10662
金鹰卡通SD,rtp/239.254.96.189:9214
卡酷少儿SD,rtp/239.254.96.188:9208
山东教育卫视SD,rtp/239.69.1.228:11010
重庆汽摩SD,rtp/239.69.1.84:10144
财富天下SD,rtp/239.254.96.210:9340
央广购物SD,rtp/239.69.2.1:11160
优购物SD,rtp/239.69.1.65:10030
优购物SD,rtp/239.69.2.15:11244
聚鲨环球精选SD,rtp/239.69.2.14:11238
